"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 13 14:50:07 EEST 2022","Thu Oct 13 14:50:24 EEST 2022","17075","","sign_up.spec.js","","","","TC-03: Should sign in on GitLab with valid credentials",""
"passed","Thu Oct 13 14:49:34 EEST 2022","Thu Oct 13 14:49:43 EEST 2022","8739","","navigation.spec.js","","","","TC-08: Should navigate to ""Pricing"" section",""
"passed","Thu Oct 13 14:49:51 EEST 2022","Thu Oct 13 14:50:00 EEST 2022","9668","","search.spec.js","","","","TC-14: Should check search suggestions work",""
"broken","Thu Oct 13 14:51:04 EEST 2022","Thu Oct 13 14:51:34 EEST 2022","30075","","trial_experts.spec.js","","","","TC-12: Should display ""Free trial"" form",""
"passed","Thu Oct 13 14:50:49 EEST 2022","Thu Oct 13 14:51:03 EEST 2022","14331","","support.spec.js","","","","TC-20: Should navigate user to registration page",""
"passed","Thu Oct 13 14:50:26 EEST 2022","Thu Oct 13 14:50:38 EEST 2022","11857","","support.spec.js","","","","TC-17: Should navigate user to Get Help page",""
"passed","Thu Oct 13 14:50:50 EEST 2022","Thu Oct 13 14:51:05 EEST 2022","15535","","trial_experts.spec.js","","","","TC-11: Should display ""Talk to an expert"" form",""
"passed","Thu Oct 13 14:49:24 EEST 2022","Thu Oct 13 14:49:34 EEST 2022","10384","","navigation.spec.js","","","","TC-05: Should navigate to ""Why GitLab"" section",""
"passed","Thu Oct 13 14:50:17 EEST 2022","Thu Oct 13 14:50:26 EEST 2022","8858","","sign_up.spec.js","","","","TC-04: Should sign up on GitLab with Saleforce",""
"passed","Thu Oct 13 14:49:24 EEST 2022","Thu Oct 13 14:49:33 EEST 2022","8867","","navigation.spec.js","","","","TC-06: Should navigate to ""Platform"" section",""
"passed","Thu Oct 13 14:49:39 EEST 2022","Thu Oct 13 14:49:46 EEST 2022","7168","","navigation.spec.js","","","","TC-09: Should navigate to ""Partners"" section",""
"passed","Thu Oct 13 14:50:38 EEST 2022","Thu Oct 13 14:50:50 EEST 2022","11976","","support.spec.js","","","","TC-19: Should navigate user to Talk to an Expert page",""
"passed","Thu Oct 13 14:50:24 EEST 2022","Thu Oct 13 14:50:36 EEST 2022","12029","","support.spec.js","","","","TC-16: Should navigate user to Contact Support",""
"passed","Thu Oct 13 14:49:47 EEST 2022","Thu Oct 13 14:49:54 EEST 2022","7439","","search.spec.js","","","","TC-13: Should check search work",""
"passed","Thu Oct 13 14:49:33 EEST 2022","Thu Oct 13 14:49:39 EEST 2022","6739","","navigation.spec.js","","","","TC-07: Should navigate to ""Solutions"" section",""
"passed","Thu Oct 13 14:50:04 EEST 2022","Thu Oct 13 14:50:17 EEST 2022","13096","","sign_up.spec.js","","","","TC-02: Should sign up on GitLab with invalid credentials",""
"passed","Thu Oct 13 14:49:54 EEST 2022","Thu Oct 13 14:50:04 EEST 2022","9838","","search.spec.js","","","","TC-15: Should redirect user to sign in form frome search page",""
"passed","Thu Oct 13 14:49:43 EEST 2022","Thu Oct 13 14:49:51 EEST 2022","7784","","navigation.spec.js","","","","TC-10: Should navigate to ""Resources"" section",""
"passed","Thu Oct 13 14:50:36 EEST 2022","Thu Oct 13 14:50:49 EEST 2022","12778","","support.spec.js","","","","TC-18: Should navigate user to GitLab Professional Services",""
"passed","Thu Oct 13 14:50:00 EEST 2022","Thu Oct 13 14:50:07 EEST 2022","6947","","sign_up.spec.js","","","","TC-01: Should sign up on GitLab with valid credentials",""
